id_assessment,assessment_type,date,weight
1752,TMA,19.0,10.0
1753,TMA,54.0,20.0
1754,TMA,117.0,20.0
1755,TMA,166.0,20.0
1756,TMA,215.0,30.0
1757,Exam,,100.0
1758,TMA,19.0,10.0
1759,TMA,54.0,20.0
1760,TMA,117.0,20.0
1761,TMA,166.0,20.0
1762,TMA,215.0,30.0
1763,Exam,,100.0
14991,CMA,54.0,1.0
14992,CMA,89.0,1.0
14993,CMA,124.0,1.0
14994,CMA,159.0,1.0
14995,CMA,187.0,1.0
14984,TMA,19.0,5.0
14985,TMA,47.0,18.0
14986,TMA,89.0,18.0
14987,TMA,124.0,18.0
14988,TMA,159.0,18.0
14989,TMA,187.0,18.0
14990,Exam,,100.0
15003,CMA,54.0,1.0
15004,CMA,96.0,1.0
15005,CMA,131.0,1.0
15006,CMA,166.0,1.0
15007,CMA,208.0,1.0
14996,TMA,19.0,5.0
14997,TMA,47.0,18.0
14998,TMA,96.0,18.0
14999,TMA,131.0,18.0
15000,TMA,166.0,18.0
15001,TMA,208.0,18.0
15002,Exam,,100.0
15015,CMA,47.0,1.0
15016,CMA,82.0,1.0
15017,CMA,117.0,1.0
15018,CMA,152.0,1.0
15019,CMA,194.0,1.0
15008,TMA,12.0,5.0
15009,TMA,40.0,18.0
15010,TMA,82.0,18.0
15011,TMA,117.0,18.0
15012,TMA,152.0,18.0
15013,TMA,194.0,18.0
15014,Exam,,100.0
15020,TMA,19.0,0.0
15021,TMA,54.0,10.0
15022,TMA,110.0,20.0
15023,TMA,152.0,35.0
15024,TMA,201.0,35.0
15025,Exam,,100.0
24286,CMA,18.0,2.0
24287,CMA,67.0,7.0
24288,CMA,137.0,8.0
24289,CMA,207.0,8.0
24282,TMA,32.0,9.0
24283,TMA,102.0,22.0
24284,TMA,151.0,22.0
24285,TMA,200.0,22.0
24290,Exam,,100.0
40087,Exam,,100.0
24295,CMA,18.0,2.0
24296,CMA,67.0,7.0
24297,CMA,144.0,8.0
24298,CMA,214.0,8.0
24291,TMA,32.0,9.0
24292,TMA,109.0,22.0
24293,TMA,158.0,22.0
24294,TMA,207.0,22.0
24299,Exam,,100.0
40088,Exam,,100.0
25341,CMA,23.0,2.0
25342,CMA,51.0,3.0
25343,CMA,79.0,3.0
25344,CMA,114.0,4.0
25345,CMA,149.0,4.0
25346,CMA,170.0,3.0
25347,CMA,206.0,6.0
25334,TMA,25.0,7.5
25335,TMA,53.0,10.0
25336,TMA,81.0,12.5
25337,TMA,116.0,15.0
25338,TMA,151.0,15.0
25339,TMA,200.0,15.0
25340,Exam,240.0,100.0
25348,TMA,25.0,10.0
25349,TMA,53.0,12.5
25350,TMA,88.0,17.5
25351,TMA,123.0,20.0
25352,TMA,165.0,20.0
25353,TMA,207.0,20.0
25354,Exam,261.0,100.0
25355,TMA,25.0,10.0
25356,TMA,53.0,12.5
25357,TMA,74.0,17.5
25358,TMA,116.0,20.0
25359,TMA,158.0,20.0
25360,TMA,200.0,20.0
25361,Exam,241.0,100.0
25362,TMA,20.0,5.0
25363,TMA,41.0,10.0
25364,TMA,62.0,10.0
25365,TMA,111.0,25.0
25366,TMA,146.0,25.0
25367,TMA,195.0,25.0
25368,Exam,,100.0
30709,TMA,33.0,16.0
30710,TMA,68.0,28.0
30711,TMA,124.0,28.0
30712,TMA,159.0,28.0
30713,Exam,235.0,100.0
30714,TMA,33.0,16.0
30715,TMA,68.0,28.0
30716,TMA,117.0,28.0
30717,TMA,152.0,28.0
30718,Exam,228.0,100.0
30719,TMA,33.0,16.0
30720,TMA,68.0,28.0
30721,TMA,131.0,28.0
30722,TMA,166.0,28.0
30723,Exam,235.0,100.0
34865,CMA,222.0,0.0
34866,CMA,222.0,0.0
34867,CMA,222.0,0.0
34868,CMA,222.0,0.0
34869,CMA,222.0,0.0
34871,CMA,222.0,0.0
34870,CMA,222.0,0.0
34860,TMA,19.0,12.5
34861,TMA,47.0,12.5
