id_student,gender,region,highest_education,imd_band,disability
3733,M,South Region,HE Qualification,90-100%,N
6516,M,Scotland,HE Qualification,80-90%,N
8462,M,London Region,HE Qualification,30-40%,N
11391,M,East Anglian Region,HE Qualification,90-100%,N
23629,F,East Anglian Region,Lower Than A Level,20-30%,N
23632,F,East Anglian Region,A Level or Equivalent,40-50%,N
23698,F,East Anglian Region,A Level or Equivalent,50-60%,N
23798,M,Wales,A Level or Equivalent,50-60%,N
24186,F,Yorkshire Region,Lower Than A Level,10-20,Y
24213,F,East Anglian Region,A Level or Equivalent,40-50%,N
24391,M,East Midlands Region,A Level or Equivalent,80-90%,N
24734,F,South Region,Lower Than A Level,60-70%,N
25107,F,East Anglian Region,Lower Than A Level,20-30%,N
25150,M,North Western Region,HE Qualification,90-100%,N
25261,F,Scotland,HE Qualification,40-50%,N
25572,F,London Region,HE Qualification,10-20,N
25629,F,Scotland,Lower Than A Level,20-30%,N
25997,F,London Region,A Level or Equivalent,20-30%,N
26023,M,North Western Region,Lower Than A Level,10-20,N
26192,F,East Anglian Region,A Level or Equivalent,60-70%,N
26211,F,London Region,HE Qualification,20-30%,N
26247,M,South East Region,HE Qualification,80-90%,N
26269,M,Yorkshire Region,Lower Than A Level,0-10%,N
26315,F,East Anglian Region,Lower Than A Level,60-70%,N
26677,M,West Midlands Region,A Level or Equivalent,0-10%,N
26734,M,South West Region,A Level or Equivalent,20-30%,Y
26915,M,Wales,Lower Than A Level,0-10%,N
27116,M,Yorkshire Region,HE Qualification,70-80%,N
27189,F,South Region,Lower Than A Level,10-20,N
27417,M,South West Region,Lower Than A Level,60-70%,N
27457,F,South East Region,Lower Than A Level,40-50%,N
27683,M,London Region,HE Qualification,30-40%,N
27759,M,North Western Region,Lower Than A Level,40-50%,Y
27780,M,Wales,A Level or Equivalent,10-20,N
27891,M,Scotland,Lower Than A Level,0-10%,Y
27935,F,East Anglian Region,Lower Than A Level,30-40%,Y
28046,F,Yorkshire Region,HE Qualification,10-20,N
28061,M,Yorkshire Region,Lower Than A Level,40-50%,N
28149,M,East Anglian Region,A Level or Equivalent,60-70%,N
28400,F,Scotland,HE Qualification,20-30%,N
28418,F,West Midlands Region,A Level or Equivalent,20-30%,N
28770,M,Scotland,Lower Than A Level,20-30%,N
28787,M,South East Region,Lower Than A Level,80-90%,N
28808,F,South Region,A Level or Equivalent,90-100%,N
28897,M,South West Region,A Level or Equivalent,10-20,N
28952,F,Yorkshire Region,Lower Than A Level,60-70%,N
29144,M,South Region,Lower Than A Level,60-70%,N
29335,M,West Midlands Region,Lower Than A Level,40-50%,N
29411,M,East Midlands Region,A Level or Equivalent,80-90%,N
29420,M,Wales,A Level or Equivalent,70-80%,N
29639,M,North Region,Lower Than A Level,,N
29764,M,East Anglian Region,A Level or Equivalent,50-60%,N
29769,M,East Midlands Region,A Level or Equivalent,40-50%,N
29820,M,East Anglian Region,HE Qualification,40-50%,N
29985,F,South Region,Lower Than A Level,20-30%,N
30091,F,South West Region,A Level or Equivalent,10-20,Y
30096,M,East Anglian Region,HE Qualification,90-100%,N
30268,F,North Western Region,A Level or Equivalent,30-40%,Y
30531,M,East Anglian Region,Lower Than A Level,50-60%,N
30549,M,South East Region,A Level or Equivalent,0-10%,N
30850,F,Scotland,HE Qualification,60-70%,N
31014,F,West Midlands Region,Lower Than A Level,80-90%,N
31107,M,South West Region,Lower Than A Level,40-50%,N
31161,M,South Region,Post Graduate Qualification,90-100%,N
31173,M,North Western Region,A Level or Equivalent,40-50%,N
31205,M,East Midlands Region,Lower Than A Level,20-30%,Y
31269,F,East Midlands Region,A Level or Equivalent,30-40%,N
31296,M,East Midlands Region,Lower Than A Level,30-40%,N
31600,F,South West Region,A Level or Equivalent,40-50%,N
31604,F,South East Region,A Level or Equivalent,50-60%,N
31663,M,North Region,A Level or Equivalent,30-40%,N
31849,F,South West Region,Lower Than A Level,60-70%,N
32221,M,South Region,A Level or Equivalent,60-70%,N
32239,F,London Region,A Level or Equivalent,30-40%,N
32327,F,South West Region,Lower Than A Level,20-30%,N
32553,M,North Western Region,A Level or Equivalent,60-70%,N
32885,F,West Midlands Region,Lower Than A Level,50-60%,N
32930,F,South Region,A Level or Equivalent,40-50%,N
33387,M,Scotland,HE Qualification,10-20,N
33600,F,London Region,A Level or Equivalent,40-50%,N
33666,F,London Region,A Level or Equivalent,10-20,N
33681,M,South East Region,A Level or Equivalent,50-60%,Y
33796,M,East Anglian Region,Lower Than A Level,80-90%,N
33897,M,West Midlands Region,Lower Than A Level,30-40%,N
33915,F,South East Region,A Level or Equivalent,30-40%,N
33930,F,South West Region,A Level or Equivalent,20-30%,N
34068,M,Scotland,Lower Than A Level,50-60%,N
34087,M,South East Region,A Level or Equivalent,60-70%,Y
34229,F,Ireland,A Level or Equivalent,0-10%,N
34293,M,West Midlands Region,Lower Than A Level,60-70%,Y
34353,M,Scotland,A Level or Equivalent,70-80%,Y
34431,F,Yorkshire Region,Lower Than A Level,70-80%,N
34653,M,East Midlands Region,Lower Than A Level,30-40%,N
34662,F,South West Region,A Level or Equivalent,60-70%,N
34694,M,West Midlands Region,A Level or Equivalent,10-20,N
34731,M,East Anglian Region,A Level or Equivalent,20-30%,N
34756,F,East Midlands Region,Lower Than A Level,10-20,N
34863,F,London Region,A Level or Equivalent,50-60%,N
35001,F,East Midlands Region,Lower Than A Level,70-80%,N
35340,M,South Region,A Level or Equivalent,50-60%,N
35355,M,Wales,Lower Than A Level,0-10%,N
35502,M,West Midlands Region,HE Qualification,30-40%,N
35508,M,South West Region,A Level or Equivalent,90-100%,N
35544,M,Wales,A Level or Equivalent,80-90%,N
35747,M,North Western Region,A Level or Equivalent,0-10%,N
35796,M,Wales,A Level or Equivalent,20-30%,N
35812,F,East Anglian Region,Lower Than A Level,30-40%,N
35859,M,North Western Region,A Level or Equivalent,90-100%,N
35860,M,South West Region,A Level or Equivalent,10-20,N
36347,M,North Western Region,Lower Than A Level,10-20,N
36385,M,West Midlands Region,Lower Than A Level,70-80%,Y
36842,M,South Region,Lower Than A Level,40-50%,N
37298,M,Ireland,HE Qualification,,N
37622,F,Scotland,HE Qualification,80-90%,N
37652,F,London Region,HE Qualification,20-30%,N
38053,M,Wales,A Level or Equivalent,80-90%,N
38187,F,East Anglian Region,Lower Than A Level,50-60%,N
38234,F,East Midlands Region,A Level or Equivalent,60-70%,N
38711,M,West Midlands Region,Lower Than A Level,0-10%,Y
38941,F,East Midlands Region,A Level or Equivalent,10-20,N
39208,F,Wales,A Level or Equivalent,90-100%,N
39411,F,West Midlands Region,Lower Than A Level,0-10%,N
39427,F,South Region,A Level or Equivalent,90-100%,N
39655,F,Scotland,Lower Than A Level,50-60%,N
39660,F,North Western Region,Lower Than A Level,0-10%,N
39882,F,Scotland,A Level or Equivalent,80-90%,N
40184,M,Wales,HE Qualification,30-40%,N
40333,M,North Region,HE Qualification,0-10%,N
40419,M,East Midlands Region,Lower Than A Level,20-30%,N
40508,M,West Midlands Region,A Level or Equivalent,40-50%,N
40563,F,South East Region,A Level or Equivalent,0-10%,N
40604,M,Ireland,A Level or Equivalent,,N
40857,F,North Western Region,A Level or Equivalent,30-40%,Y
40878,M,North Western Region,Lower Than A Level,0-10%,N
41060,M,Ireland,HE Qualification,70-80%,N
41414,F,West Midlands Region,Lower Than A Level,0-10%,Y
41489,F,East Anglian Region,Lower Than A Level,20-30%,N
41547,F,Yorkshire Region,A Level or Equivalent,40-50%,N
42552,F,East Anglian Region,A Level or Equivalent,80-90%,N
42616,F,Scotland,Lower Than A Level,80-90%,N
42638,M,Scotland,HE Qualification,90-100%,N
42668,M,London Region,Lower Than A Level,10-20,N
42746,F,South Region,HE Qualification,50-60%,N
42818,F,East Anglian Region,Lower Than A Level,40-50%,Y
43011,M,North Region,Lower Than A Level,,N
43273,M,East Midlands Region,HE Qualification,60-70%,N
43284,M,East Midlands Region,Lower Than A Level,80-90%,N
43430,M,South West Region,A Level or Equivalent,50-60%,N
43564,M,Scotland,HE Qualification,80-90%,N
43958,M,Wales,A Level or Equivalent,90-100%,N
45423,M,South West Region,Lower Than A Level,70-80%,N
45462,M,Scotland,HE Qualification,30-40%,N
45642,F,North Western Region,A Level or Equivalent,90-100%,N
45664,M,Yorkshire Region,HE Qualification,60-70%,N
46016,M,North Western Region,Lower Than A Level,40-50%,N
46048,M,East Anglian Region,A Level or Equivalent,80-90%,N
46148,M,North Western Region,A Level or Equivalent,10-20,N
46605,M,East Anglian Region,HE Qualification,60-70%,N
46633,F,London Region,A Level or Equivalent,0-10%,N
46705,M,Ireland,HE Qualification,,N
46753,F,East Anglian Region,A Level or Equivalent,60-70%,N
46812,F,North Region,Lower Than A Level,0-10%,Y
46844,M,North Region,HE Qualification,30-40%,N
47061,M,East Midlands Region,A Level or Equivalent,90-100%,N
47063,M,London Region,HE Qualification,40-50%,N
47855,F,Scotland,Lower Than A Level,10-20,N
47861,M,South East Region,A Level or Equivalent,50-60%,Y
47891,F,Wales,Lower Than A Level,10-20,N
47924,M,West Midlands Region,Lower Than A Level,0-10%,N
48040,F,East Midlands Region,A Level or Equivalent,20-30%,N
48152,F,East Anglian Region,A Level or Equivalent,70-80%,N
48503,F,West Midlands Region,Lower Than A Level,10-20,N
48635,M,South Region,HE Qualification,90-100%,N
49095,F,South West Region,HE Qualification,40-50%,N
49119,M,Ireland,HE Qualification,,N
49123,M,Yorkshire Region,Lower Than A Level,50-60%,N
49530,M,East Anglian Region,A Level or Equivalent,30-40%,N
49670,M,North Region,A Level or Equivalent,0-10%,N
50069,F,Scotland,A Level or Equivalent,30-40%,N
50263,M,West Midlands Region,HE Qualification,80-90%,N
50309,M,East Midlands Region,Lower Than A Level,10-20,N
50476,F,South West Region,HE Qualification,0-10%,N
50487,F,East Anglian Region,Lower Than A Level,90-100%,N
50610,F,East Anglian Region,A Level or Equivalent,50-60%,Y
50619,M,North Western Region,A Level or Equivalent,60-70%,N
50993,F,Scotland,Lower Than A Level,0-10%,Y
51030,M,West Midlands Region,A Level or Equivalent,60-70%,N
51033,F,South Region,A Level or Equivalent,80-90%,N
51153,F,East Midlands Region,HE Qualification,30-40%,N
51163,M,London Region,HE Qualification,20-30%,N
51253,F,North Western Region,Lower Than A Level,40-50%,N
51301,F,Wales,Lower Than A Level,30-40%,Y
51485,M,West Midlands Region,Lower Than A Level,10-20,N
51576,F,London Region,Lower Than A Level,10-20,N
51955,M,Scotland,A Level or Equivalent,80-90%,Y
52014,F,Wales,Lower Than A Level,0-10%,N
52130,F,East Anglian Region,A Level or Equivalent,70-80%,N
52275,M,London Region,No Formal quals,0-10%,N
52426,F,Scotland,Lower Than A Level,70-80%,N
52494,F,South Region,Lower Than A Level,90-100%,N
52702,F,Scotland,Lower Than A Level,20-30%,N
52765,F,Yorkshire Region,Lower Than A Level,0-10%,N
52797,F,South West Region,Lower Than A Level,30-40%,N
52899,F,East Midlands Region,Lower Than A Level,50-60%,N
53025,M,North Region,Post Graduate Qualification,,N
53136,F,London Region,A Level or Equivalent,30-40%,N
53166,F,North Region,Lower Than A Level,40-50%,N
53197,F,North Western Region,No Formal quals,0-10%,N
53236,F,Yorkshire Region,Lower Than A Level,60-70%,N
53300,M,West Midlands Region,A Level or Equivalent,90-100%,N
53360,F,North Western Region,Lower Than A Level,10-20,N
53488,F,East Anglian Region,HE Qualification,90-100%,N
53626,M,Scotland,HE Qualification,30-40%,Y
53632,M,Wales,Lower Than A Level,90-100%,N
53709,M,Wales,A Level or Equivalent,30-40%,N
53895,M,North Region,A Level or Equivalent,60-70%,N
54062,M,East Anglian Region,A Level or Equivalent,30-40%,N
54388,M,East Anglian Region,Lower Than A Level,0-10%,N
54391,M,South West Region,Lower Than A Level,10-20,N
54739,M,Yorkshire Region,Lower Than A Level,,N
54772,M,South Region,Lower Than A Level,90-100%,N
54810,M,South Region,HE Qualification,40-50%,N
54867,F,South West Region,Lower Than A Level,20-30%,N
54882,M,Scotland,Lower Than A Level,30-40%,N
55013,M,North Region,A Level or Equivalent,10-20,N
55026,F,London Region,A Level or Equivalent,20-30%,Y
55104,F,West Midlands Region,A Level or Equivalent,60-70%,N
55242,F,North Western Region,Lower Than A Level,30-40%,N
55419,M,South Region,A Level or Equivalent,90-100%,N
55450,M,South East Region,A Level or Equivalent,30-40%,N
55968,F,Wales,Lower Than A Level,10-20,N
56340,F,South Region,Lower Than A Level,20-30%,N
