id_student,date_registration,date_unregistration
3733,-68.0,-8.0
6516,-52.0,
8462,-137.0,119.0
11391,-159.0,
23629,-47.0,
23632,-194.0,-51.0
23698,-110.0,
23798,-27.0,
24186,-25.0,
24213,-128.0,-46.0
24391,-64.0,
24734,-18.0,
25107,-73.0,
25150,-47.0,
25261,-114.0,51.0
25572,-68.0,59.0
25629,-31.0,-30.0
25997,-139.0,83.0
26023,-37.0,
26192,-38.0,
26211,-25.0,
26247,-47.0,
26269,-73.0,-12.0
26315,-92.0,
26677,-60.0,-1.0
26734,-101.0,
26915,-61.0,
27116,-156.0,
27189,-65.0,
27417,-74.0,208.0
27457,-36.0,-12.0
27683,-24.0,
27759,-43.0,
27780,-23.0,
27891,-58.0,153.0
27935,-134.0,
28046,-190.0,
28061,-130.0,
28149,-46.0,-4.0
28400,-53.0,
28418,-37.0,
28770,-31.0,
28787,-29.0,
28808,-120.0,
28897,-136.0,
28952,-50.0,12.0
29144,-24.0,
29335,-31.0,
29411,-96.0,
29420,-14.0,
29639,-26.0,
29764,-34.0,
29769,-32.0,
29820,-57.0,
29985,-93.0,
30091,-145.0,
30096,-22.0,
30268,-92.0,12.0
30531,-137.0,
30549,-102.0,
30850,-56.0,
31014,-43.0,128.0
31107,-47.0,
31161,-43.0,
31173,-44.0,
31205,-31.0,
31269,-53.0,19.0
31296,-20.0,
31600,-52.0,
31604,-52.0,
31663,-60.0,
31849,-128.0,
32221,-32.0,
32239,-78.0,
32327,-92.0,121.0
32553,-80.0,-12.0
32885,-176.0,
32930,-35.0,
33387,-43.0,179.0
33600,-43.0,32.0
33666,-23.0,139.0
33681,-151.0,208.0
33796,-51.0,
33897,-58.0,107.0
33915,-64.0,
33930,-143.0,
34068,-74.0,108.0
34087,-75.0,169.0
34229,-58.0,
34293,-68.0,90.0
34353,-16.0,
34431,-24.0,27.0
34653,-149.0,
34662,-137.0,104.0
34694,-55.0,-54.0
34731,-38.0,136.0
34756,-43.0,59.0
34863,-65.0,
35001,-27.0,
35340,-51.0,
35355,-30.0,
35502,-73.0,37.0
35508,-50.0,
35544,-22.0,
35747,-15.0,12.0
35796,-66.0,
35812,-53.0,
35859,-151.0,
35860,-60.0,
36347,-25.0,
36385,-73.0,79.0
36842,-24.0,-18.0
37298,-31.0,
37622,-46.0,
37652,-11.0,
38053,-110.0,
38187,-46.0,26.0
38234,-117.0,
38711,-43.0,175.0
38941,-24.0,
39208,-72.0,
39411,-36.0,
39427,-37.0,223.0
39655,-22.0,
39660,-40.0,
39882,-32.0,-31.0
40184,-106.0,
40333,-30.0,17.0
40419,-46.0,171.0
40508,-101.0,1.0
40563,-43.0,
40604,-17.0,
40857,-89.0,108.0
40878,-86.0,
41060,-24.0,
41414,-12.0,
41489,-75.0,
41547,-87.0,
42552,-150.0,
42616,-33.0,
42638,-39.0,
42668,-122.0,
42746,-135.0,
42818,-124.0,
43011,-31.0,-2.0
43273,-108.0,
43284,-28.0,226.0
43430,-53.0,
43564,-18.0,
43958,-167.0,149.0
