code_module,code_presentation,id_student,studied_credits,num_of_prev_attempts,final_result,date_registration,date_unregistration,classification,revenue_status,base_revenue,extra_revenue,total_revenue
AAA,2013J,11391,240,0,Pass,-159.0,,Pass,revenue_secured,2400,0.0,2400.0
AAA,2013J,28400,60,0,Pass,-53.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,30268,60,0,Withdrawn,-92.0,12.0,Withdrawn,revenue_refunded,600,0.0,150.0
AAA,2013J,31604,60,0,Pass,-52.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,32885,60,0,Pass,-176.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,38053,60,0,Pass,-110.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,45462,60,0,Pass,-67.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,45642,120,0,Pass,-29.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,52130,90,0,Pass,-33.0,,Pass,revenue_secured,900,0.0,900.0
AAA,2013J,53025,60,0,Pass,-179.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,57506,60,0,Pass,-103.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,58873,60,0,Pass,-47.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,59185,60,0,Pass,-59.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,62155,60,0,Pass,-68.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,63400,60,0,Pass,-67.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,65002,60,0,Withdrawn,-180.0,96.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,70464,60,0,Pass,-95.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,71361,60,0,Pass,-130.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,74372,150,0,Fail,-50.0,,Fail,resit_fee_revenue,1500,750.0,2250.0
AAA,2013J,75091,60,0,Pass,-107.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,77367,60,0,Pass,-27.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,91265,60,0,Pass,-31.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,94961,60,0,Withdrawn,-170.0,72.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,98094,60,0,Pass,-107.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,100893,60,0,Pass,-62.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,101781,60,0,Pass,-103.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,102806,60,0,Pass,-107.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,102952,60,0,Pass,-100.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,104476,60,0,Pass,-109.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,106247,60,0,Withdrawn,5.0,175.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,106577,60,0,Pass,-107.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,110175,60,0,Pass,-110.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,111717,60,0,Pass,-43.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,113295,60,0,Pass,-26.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,114017,60,0,Pass,-29.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,114999,60,0,Pass,-68.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,116541,60,0,Pass,-68.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,116692,60,0,Pass,-32.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,118983,120,0,Pass,-99.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,123044,60,0,Pass,-82.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,127582,180,0,Pass,-31.0,,Pass,revenue_secured,1800,0.0,1800.0
AAA,2013J,129955,60,0,Withdrawn,-197.0,135.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,132976,120,0,Pass,-75.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,134143,60,0,Distinction,-96.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,135335,180,0,Withdrawn,-29.0,30.0,Withdrawn,revenue_lost,1800,0.0,1800.0
AAA,2013J,135400,60,0,Withdrawn,-32.0,144.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,137873,60,0,Pass,-195.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,141355,240,0,Pass,-61.0,,Pass,revenue_secured,2400,0.0,2400.0
AAA,2013J,141377,345,0,Withdrawn,-110.0,129.0,Withdrawn,revenue_lost,3450,0.0,3450.0
AAA,2013J,142326,60,0,Pass,-37.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,144801,60,0,Pass,-67.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,145130,120,0,Pass,-36.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,146188,60,0,Fail,-132.0,,Fail,resit_fee_revenue,600,300.0,900.0
AAA,2013J,147756,120,0,Fail,-92.0,,Fail,resit_fee_revenue,1200,600.0,1800.0
AAA,2013J,147793,90,0,Withdrawn,-138.0,58.0,Withdrawn,revenue_lost,900,0.0,900.0
AAA,2013J,148993,60,0,Withdrawn,-174.0,158.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,151358,150,0,Pass,-44.0,,Pass,revenue_secured,1500,0.0,1500.0
AAA,2013J,155550,420,0,Pass,-16.0,,Pass,revenue_secured,4200,0.0,4200.0
AAA,2013J,155854,60,0,Pass,-54.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,155984,60,0,Withdrawn,-64.0,191.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,157568,60,0,Pass,-52.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,159954,60,0,Withdrawn,-46.0,123.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,164259,60,0,Pass,-64.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,167906,60,0,Pass,-117.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,168936,60,0,Pass,-32.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,172112,60,0,Pass,-50.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,172797,60,0,Pass,-45.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,174782,60,0,Pass,-162.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,175392,60,0,Pass,-195.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,175932,60,0,Pass,-92.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,175991,180,0,Fail,-57.0,,Fail,resit_fee_revenue,1800,900.0,2700.0
AAA,2013J,180753,120,0,Pass,-64.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,181316,120,0,Withdrawn,-39.0,60.0,Withdrawn,revenue_lost,1200,0.0,1200.0
AAA,2013J,183096,60,0,Pass,-128.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,183947,180,0,Pass,-32.0,,Pass,revenue_secured,1800,0.0,1800.0
AAA,2013J,184271,170,0,Pass,-74.0,,Pass,revenue_secured,1700,0.0,1700.0
AAA,2013J,185439,120,0,Fail,-12.0,,Fail,resit_fee_revenue,1200,600.0,1800.0
AAA,2013J,186149,60,0,Pass,-109.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,187100,60,0,Distinction,-136.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,188278,120,0,Withdrawn,-57.0,60.0,Withdrawn,revenue_lost,1200,0.0,1200.0
AAA,2013J,189879,120,0,Pass,-180.0,,Pass,revenue_secured,1200,0.0,1200.0
AAA,2013J,192183,60,0,Pass,-62.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,195262,60,0,Withdrawn,-45.0,185.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,200860,60,0,Pass,-54.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,202635,60,0,Withdrawn,-73.0,166.0,Withdrawn,revenue_lost,600,0.0,600.0
AAA,2013J,205350,60,0,Pass,-68.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,205719,90,0,Fail,-51.0,,Fail,resit_fee_revenue,900,450.0,1350.0
AAA,2013J,227499,60,0,Distinction,-169.0,,Distinction,revenue_secured,600,0.0,600.0
AAA,2013J,227517,180,0,Fail,-172.0,,Fail,resit_fee_revenue,1800,900.0,2700.0
AAA,2013J,228082,60,0,Pass,-31.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,228222,60,0,Pass,-108.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,229179,60,0,Pass,-165.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,229361,60,0,Pass,-58.0,,Pass,revenue_secured,600,0.0,600.0
AAA,2013J,231554,240,0,Pass,-29.0,,Pass,revenue_secured,2400,0.0,2400.0
AAA,2013J,235507,240,0,Withdrawn,-79.0,109.0,Withdrawn,revenue_lost,2400,0.0,2400.0
