region,txn_count,score_total,score_mean
East Anglian Region,18254,1383423.0,75.78738906541032
East Midlands Region,12371,937127.0,75.75191981246464
Ireland,7336,553085.0,75.39326608505998
London Region,16340,1218509.0,74.57215422276622
North Region,10227,790775.0,77.32228414979954
North Western Region,13897,1033379.0,74.35986184068504
Scotland,18006,1379736.0,76.6264578473842
South East Region,11785,911214.0,77.31981332201951
South Region,17558,1341710.0,76.41587880168584
South West Region,13419,1018378.0,75.89075191892093
Wales,11215,846053.0,75.43941150245207
West Midlands Region,13028,979971.0,75.22037150752226
Yorkshire Region,10303,775982.0,75.31612151800446
