region,transactions,revenue_total,revenue_mean
East Anglian Region,18263,1383423.00,75.7500
East Midlands Region,12374,937127.00,75.7336
Ireland,7341,553085.00,75.3419
London Region,16367,1218509.00,74.4491
North Region,10238,790775.00,77.2392
North Western Region,13910,1033379.00,74.2904
Scotland,18022,1379736.00,76.5584
South East Region,11793,911214.00,77.2674
South Region,17577,1341710.00,76.3333
South West Region,13431,1018378.00,75.8229
Wales,11230,846053.00,75.3386
West Midlands Region,13049,979971.00,75.0993
Yorkshire Region,10317,775982.00,75.2139
